User,Charge,Cost,Link,Start count,Quantity
loveme4488,75,25,https://www.instagram.com/reel/DaNf3SCBoWH/,9,5
clsrn3601,750,250,https://www.instagram.com/reel/DaNFOGIxvyY/,434,50
hanasaram,140,54.6,https://www.instagram.com/p/DaNkQSNEfOE/,17,7
22222,600,390,https://www.instagram.com/p/DaNrj7Rj2ft/,39,50
loveme4488,75,25,https://www.instagram.com/reel/DaNf3SCBoWH/,14,5
loveme4488,150,50,https://www.instagram.com/p/DaNqAC3BJJ8/,5,10
officialelvin,600,234,https://www.instagram.com/p/DaNhdnVz6AB/,3,30
officialelvin,400,156,https://www.instagram.com/p/DaNhdnVz6AB/,3,20
rlawlgo879,300,100,https://www.instagram.com/reel/DaNlauMSBjz/,70,20
22222,600,390,https://www.instagram.com/p/DaN2HcDmrTi/,0,50
22222,600,390,https://www.instagram.com/p/DaNtc3Ak5y_/,267,50
22222,1200,780,https://www.instagram.com/reel/DaNx9dSzTCu/,3,100
22222,1200,780,https://www.instagram.com/p/DaN2HcDmrTi/,3,100
clsrn3601,1125,375,https://www.instagram.com/reel/DaNFOGIxvyY/,604,75
tnwjd1280,450,150,https://www.instagram.com/p/DaNc93HD-eE/,71,30
rlawlgo879,200,78,https://www.instagram.com/reel/DaNlauMSBjz/,91,10
csheep,240,150,https://www.instagram.com/reel/DaL9ePNSinp/,104,30
22222,1200,780,https://www.instagram.com/p/DaNYp_8FOH1/,3,100
isc1166,500,195,https://www.instagram.com/p/DaNQ66WnUhy/,99,25
isc1166,150,50,https://www.instagram.com/p/DaNQ66WnUhy/,100,10
rlawlgo879,200,78,https://www.instagram.com/reel/DaNlauMSBjz/,105,10
csheep,800,500,https://www.instagram.com/reel/DaNtVsnvcBi/,902,100
rlawlgo879,400,156,https://www.instagram.com/reel/DaNlauMSBjz/,118,20
gt12kr,375,125,https://www.instagram.com/p/DaOi9W2Eh0h/,,25
22222,600,390,https://www.instagram.com/p/DaNXthVD_uI/,3,50
loveme4488,150,50,https://www.instagram.com/p/DaNqAC3BJJ8/,24,10
loveme4488,150,50,https://www.instagram.com/reel/DaNf3SCBoWH/,24,10
rlawlgo879,300,100,https://www.instagram.com/reel/DaNlauMSBjz/,142,20
